Rank,Country,Population,Yearly_Change,NetChange,PopDensity,LandArea,Migrants,FertRate,MedAge,UrbanPopulation,WorldShare
2,Ethiopia,138902185,2.53,3430134.0,139,1000000,27298.0,3.7,19,23.0,1.67
6,South Africa,65453084,1.09,705765.0,54,1213090,131684.0,2.2,29,67.0,0.79
8,Sudan,53282719,3.14,1620572.0,30,1765048,252038.0,4.1,19,35.0,0.64
16,C̫te d'Ivoire,33494346,2.39,782799.0,105,318000,6535.0,4.1,18,49.0,0.4
21,Malawi,22785535,2.56,569415.0,242,94280,1348.0,3.4,18,20.0,0.27
22,Zambia,22521915,2.77,608041.0,30,743390,6939.0,3.9,18,47.0,0.27
24,Somalia,20305907,3.31,651168.0,32,627340,15364.0,5.8,16,47.0,0.24
31,South Sudan,12436037,2.03,247249.0,20,610952,7974.0,3.6,19,28.0,0.15
35,Libya,7539851,1.09,81296.0,4,1759540,2610.0,2.2,28,78.0,0.091
41,Namibia,3153246,1.95,60430.0,4,823290,47.0,3.1,22,55.0,0.038
43,Gabon,2647399,2.09,54269.0,10,257670,1152.0,3.5,22,84.0,0.032
47,Equatorial Guinea,1984468,2.37,46037.0,71,28050,3533.0,4.0,21,64.0,0.024
50,Djibouti,1199459,1.3,15383.0,52,23180,302.0,2.5,25,71.0,0.014
53,Western Sahara,610813,1.65,9909.0,2,266000,4689.0,2.1,33,98.0,0.0074
57,Seychelles,134959,1.64,2180.0,293,460,1367.0,2.1,35,43.0,0.0016
