,CAVENDISH UNIVERSITY UGANDA,,,,
,BACHELOR OF PUBLIC ADMINISTRATION & MGT- EXAMS TIMETABLE DEC 2025,,,,
,,,YEAR  ONE SEMESTER ONE,,
BJC116,Sat-13th,09:00-12:00,BJC116,Basic Academic Writing Skills,Dr. Anyona O. Evans
BPA112,Sun-14th,09:00-12:00,BPA112,Public Finance Administration and Management,Ms.Iriet Caroline Namajja
BPA111,Sat-13th,02:00-05:00,BPA111,Public Administration and Management,Dr. Mbabazi Annet
BJC110,Sun-21st,02:00-05:00,BJC110,Communication Skills and Learning Skills for Employability,Ms.Namakula Elizabeth
BIT110,Sun-21st,09:00-12:00,BIT110,Introduction to Information and Communication Technologies,Ms.Nanyonjo Evelyn
BPA116,Sat-20th,02:00-05:00,BPA116,Theory and Management of Organisations,Dr. Wabule Alice
YEAR  ONE SEMESTER TWO,,,YEAR  ONE SEMESTER TWO,,
BPA221,Sun-14th,02:00-05:00,BPA221,Economics for Public Administration and management ,Mr. Vicent Ssekundi
IRDS121/BPA121/FOA124,Sat-20th,02:00-05:00,IRDS121/BPA121/FOA124,Introduction to Political Science,Mr. Vicent Ssekundi
BPA122,Sat-13th,09:00-12:00,BPA122,Governance and Public Sector Management ,Dr. Akampurira Patience
BPA124,Sat-20th,09:00-12:00,BPA124,Organizational Psychology,Ms. Nassozi Beatrice
BPA123,Sun-14th,09:00-12:00,BPA123,Decentralization and Local Government Administration ,Dr. Abdulrazak Yuguda Madu
IRDS125/BPA126,Sat-13th,02:00-05:00,IRDS125/BPA126,Political Economy ,Rene Eno Akpa
YEAR TWO SEMESTER ONE,,,YEAR TWO SEMESTER ONE,,
BPA215,Sun-21st,09:00-12:00,BPA215,Environmental Management and Sustainable Development,Dr. Abdulrazak Yuguda Madu
BPA217,Sat-13th,02:00-05:00,BPA217,Development Public Administration and Management ,Dr. Abdulrazak Yuguda Madu
BPA213,Sat-20th,02:00-05:00,BPA213,Regional Planning and Management,Ms.Iriet Caroline Namajja
BPA211,Sun-14th,02:00-05:00,BPA211,Leadership and Change Management,Dr. Mbabazi Annet
BPA216,Sun-14th,09:00-12:00,BPA216,Human and Social Services Systems ,Ms.Iriet Caroline Namajja
BPA125/IRDS214,Sat-13th,09:00-12:00,BPA125/IRDS214,Gender in Public Administration and Management ,Dr. Akampurira Patience
YEAR TWO SEMESTER TWO,,,YEAR TWO SEMESTER TWO,,
IRDS122/BPA225,Sun-14th,02:00-05:00,IRDS122/BPA225,Government and Politics in Africa  ,Dr. Akampurira Patience
FOA122/BPA113,Sun-21st,02:00-05:00,FOA122/BPA113,Introduction to Critical thinking,Dr. Thomas Russel
BPA226,Sat-20th,09:00-12:00,BPA226,Demography and Population Studies ,Mr. Vicent Ssekundi
NGO316,Sat-13th,02:00-05:00,NGO316,Resource Mobilization and Grants Administration,Ms.Iriet Caroline Namajja
RSC001,Sat-20th,02:00-05:00,RSC001,Research Methodology,Dr. Mbabazi Annet
YEAR THREE SEMESTER ONE ,,,YEAR THREE SEMESTER ONE ,,
BPA313,Sat-20th,02:00-05:00,BPA313,Civil Society Development and NGOs Management,Mr. Vicent Ssekundi
BPA314,Sat-20th,09:00-12:00,BPA314,Constitutionalism and Administrative Law,Mr. Richard Watenyera
BPA316,Sun-21st,09:00-12:00,BPA316,Management of Public Enterprises,Ms.Iriet Caroline Namajja
PLM317,Sun-21st,02:00-05:00,PLM317,Public and Private Procurement Management,Ms.Kabasinguzi Christine
BPA312,Sat-13th,09:00-12:00,BPA312,"Public Policy, Planning Analysis and Management",Mr. Pasqualine Okello
BBA215/DBA215,Sun-14th,02:00-05:00,BBA215/DBA215,Human Resource Management,Mr. Ronald Olar
YEAR THREE SEMESTER TWO,,,YEAR THREE SEMESTER TWO,,
BPA325,Sun-21st,09:00-12:00,BPA325,Human Rights and Social Justice,Dr. Abdulrazak Yuguda Madu
BPA324,Sun-14th,02:00-05:00,BPA324,Ethics and Professionalism in Public Administration,Dr. Wabule Alice
BPA322,Sat-13th,02:00-05:00,BPA322,Disaster Preparedness and Management,Rene Eno Akpa
IRDS311,Sun-14th,09:00-12:00,IRDS311,Security Studies,Dr. Jude Kagooro
BBA322,Fri-12th,02:00-05:00,BBA322,Project Planning and Management,Ms. Nakazzi Maria
