Population_Group,Year,Estimated_PLHIV,New_HIV_Infections
Adults & Children,2010,1100000,86000
Adults & Children,2022,1400000,52000
Adults 15+,2010,917000,66000
Adults 15+,2022,1350000,46000
Women 15+,2010,550000,39000
Women 15+,2022,860000,30000
Men 15+,2010,360000,27000
Men 15+,2022,500000,15000
Young People 15-24,2010,172000,27000
Young People 15-24,2022,166000,19000
Young Women 15-24,2010,126000,20000
Young Women 15-24,2022,119000,15000
Young Men 15-24,2010,46000,7000
Young Men 15-24,2022,48000,4000
Children 0-14,2010,146000,20000
Children 0-14,2022,80000,5900
